diagnosis,TARGET_plan
Dyspepsia,"## Diet
Bland diet.
## Rest
Upright after meals.
## Warnings
Blood in vomit."
Streptococcal Pharyngitis,"## Diet
Soft foods.
## Rest
Voice rest.
## Warnings
Inability to swallow."
Angina Pectoris,"## Diet
Low sodium.
## Rest
Absolute bed rest.
## Warnings
Left arm pain."
Dyspepsia,"## Diet
Bland diet.
## Rest
Upright after meals.
## Warnings
Blood in vomit."
Acute Bronchitis,"## Diet
Warm fluids.
## Rest
Avoid dust.
## Warnings
Respiratory distress."
Angina Pectoris,"## Diet
Low sodium.
## Rest
Absolute bed rest.
## Warnings
Left arm pain."
Angina Pectoris,"## Diet
Low sodium.
## Rest
Absolute bed rest.
## Warnings
Left arm pain."
Dyspepsia,"## Diet
Bland diet.
## Rest
Upright after meals.
## Warnings
Blood in vomit."
Migraine,"## Diet
Avoid trigger foods.
## Rest
Quiet room.
## Warnings
Worst headache ever."
Acute Bronchitis,"## Diet
Warm fluids.
## Rest
Avoid dust.
## Warnings
Respiratory distress."
Dyspepsia,"## Diet
Bland diet.
## Rest
Upright after meals.
## Warnings
Blood in vomit."
Acute Bronchitis,"## Diet
Warm fluids.
## Rest
Avoid dust.
## Warnings
Respiratory distress."
Acute Bronchitis,"## Diet
Warm fluids.
## Rest
Avoid dust.
## Warnings
Respiratory distress."
Angina Pectoris,"## Diet
Low sodium.
## Rest
Absolute bed rest.
## Warnings
Left arm pain."
Streptococcal Pharyngitis,"## Diet
Soft foods.
## Rest
Voice rest.
## Warnings
Inability to swallow."
Acute Bronchitis,"## Diet
Warm fluids.
## Rest
Avoid dust.
## Warnings
Respiratory distress."
Acute Gastroenteritis,"## Diet
BRAT diet.
## Rest
Adequate sleep.
## Warnings
Severe dehydration."
Angina Pectoris,"## Diet
Low sodium.
## Rest
Absolute bed rest.
## Warnings
Left arm pain."
Migraine,"## Diet
Avoid trigger foods.
## Rest
Quiet room.
## Warnings
Worst headache ever."
Streptococcal Pharyngitis,"## Diet
Soft foods.
## Rest
Voice rest.
## Warnings
Inability to swallow."
Acute Gastroenteritis,"## Diet
BRAT diet.
## Rest
Adequate sleep.
## Warnings
Severe dehydration."
Acute Gastroenteritis,"## Diet
BRAT diet.
## Rest
Adequate sleep.
## Warnings
Severe dehydration."
