symptoms,TARGET_department,TARGET_urgency,TARGET_justification,TARGET_warning
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
coughing up blood and high fever,Emergency Medicine,Emergency,Severe respiratory compromise.,Check oxygen saturation.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
slurred speech and dizziness,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
coughing up blood and high fever,Emergency Medicine,Emergency,Severe respiratory compromise.,Check oxygen saturation.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
sudden weakness on right side,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
slurred speech and dizziness,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
slurred speech and dizziness,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
broken bone sticking out,Emergency Medicine,Emergency,Open fracture requiring immediate surgery.,Control bleeding.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
broken bone sticking out,Emergency Medicine,Emergency,Open fracture requiring immediate surgery.,Control bleeding.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
general fatigue and mild fever,General Medicine,Normal,Standard outpatient evaluation.,Rest and hydration.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
severe chest pain and shortness of breath,Cardiology,Emergency,High risk of myocardial infarction.,Monitor for cardiac arrest.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
sudden weakness on right side,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
broken bone sticking out,Emergency Medicine,Emergency,Open fracture requiring immediate surgery.,Control bleeding.
coughing up blood and high fever,Emergency Medicine,Emergency,Severe respiratory compromise.,Check oxygen saturation.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
persistent headache and blurred vision,Neurology,Urgent,Possible neurological event.,Watch for loss of consciousness.
severe chest pain and shortness of breath,Cardiology,Emergency,High risk of myocardial infarction.,Monitor for cardiac arrest.
slurred speech and dizziness,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
slurred speech and dizziness,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
sudden weakness on right side,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
general fatigue and mild fever,General Medicine,Normal,Standard outpatient evaluation.,Rest and hydration.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
general fatigue and mild fever,General Medicine,Normal,Standard outpatient evaluation.,Rest and hydration.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
general fatigue and mild fever,General Medicine,Normal,Standard outpatient evaluation.,Rest and hydration.
persistent headache and blurred vision,Neurology,Urgent,Possible neurological event.,Watch for loss of consciousness.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
persistent headache and blurred vision,Neurology,Urgent,Possible neurological event.,Watch for loss of consciousness.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
persistent headache and blurred vision,Neurology,Urgent,Possible neurological event.,Watch for loss of consciousness.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
sudden weakness on right side,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
persistent headache and blurred vision,Neurology,Urgent,Possible neurological event.,Watch for loss of consciousness.
sudden weakness on right side,Emergency Medicine,Emergency,Stroke protocol activated.,Time is critical.
sharp pain in left leg after fall,Orthopedics,Urgent,Fracture assessment required.,Immobilize limb.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
twisted ankle cannot bear weight,Orthopedics,Normal,Sprain evaluation.,Elevate limb.
numbness in fingers,Neurology,Normal,Neuropathy evaluation.,Monitor progression.
coughing up blood and high fever,Emergency Medicine,Emergency,Severe respiratory compromise.,Check oxygen saturation.
joint pain and swelling,Orthopedics,Normal,Arthritis/joint assessment.,Rest and ice.
cannot keep water down,General Medicine,Urgent,Dehydration risk.,Monitor fluid intake.
left arm pain radiating to jaw,Cardiology,Emergency,Classic angina presentation.,Proceed to ER if pain worsens.
severe stomach pain and vomiting,General Medicine,Urgent,Acute gastroenteritis risk.,Monitor fluid intake.
severe chest pain and shortness of breath,Cardiology,Emergency,High risk of myocardial infarction.,Monitor for cardiac arrest.
palpitations and sweating,Cardiology,Urgent,Arrhythmia risk.,Check pulse frequently.
crushing pressure on chest,Cardiology,Emergency,Suspected acute coronary syndrome.,Monitor for cardiac arrest.
